"S 葵青 Kwai Tsing","區議會選區","Constituency","分區編號 DCCA Code","點票站","Counting Station","候選人編號 1 Candidate Number 1","候選人編號 2 Candidate Number 2","候選人編號 3 Candidate Number 3","候選人編號 4 Candidate Number 4","候選人編號 5 Candidate Number 5","候選人編號 6 Candidate Number 6"
"S01","葵興","KWAI HING","S0101","中華傳道會許大同學校","CNEC Ta Tung School","3532","1408","--","--","--","--"
"S02","葵聯","KWAI LUEN","S0201","林士德體育館","Osman Ramju Sadick Memorial Sports Centre","34","2296","3102","--","--","--"
"S03","葵盛東邨","KWAI SHING EAST ESTATE","S0301","天主教母佑會蕭明中學","DMHC Siu Ming Catholic Secondary School","59","2912","4980","--","--","--"
"S04","上大窩口","UPPER TAI WO HAU","S0401","仁愛堂彭鴻樟幼稚園","Yan Oi Tong Pang Hung Cheung Kindergarten","2332","3118","--","--","--","--"
"S05","下大窩口","LOWER TAI WO HAU","S0501","佛教林炳炎紀念學校(香港佛教聯合會主辦)","Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association)","4463","1937","--","--","--","--"
"S06","葵涌邨南","KWAI CHUNG ESTATE SOUTH","S0601","中華基督教會全完幼稚園","CCC Chuen Yuen Kindergarten","60","2425","2643","--","--","--"
"S06","葵涌邨南","KWAI CHUNG ESTATE SOUTH","S0602","東華三院陳兆民中學","TWGHS Chen Zao Men College","42","859","1597","--","--","--"
"S07","葵涌邨北","KWAI CHUNG ESTATE NORTH","S0701","中華基督教會全完中學","CCC Chuen Yuen College","33","4396","3169","--","--","--"
"S08","石蔭","SHEK YAM","S0801","聖公會主愛小學","SKH Chu Oi Primary School","3731","4891","--","--","--","--"
"S09","大白田西","TAI PAK TIN WEST","S0901","香港道教聯合會圓玄學院第一中學","HKTA The Yuen Yuen Institute No. 1 Secondary School","2449","2106","544","--","--","--"
"S10","大白田東","TAI PAK TIN EAST","S1001","石籬聖若望天主教小學","Shek Lei St. John's Catholic Primary School","2407","2902","73","--","--","--"
"S11","安蔭","ON YAM","S1101","慈幼葉漢小學","Salesian Yip Hon Primary School","3585","3308","--","--","--","--"
"S12","石籬北","SHEK LEI NORTH","S1201","石籬社區會堂","Shek Lei Community Hall","2086","3456","--","--","--","--"
"S13","石籬南","SHEK LEI SOUTH","S1301","石籬 (一) 邨室內活動室","Shek Lei (I) Estate Indoor Activity Room","4780","3331","--","--","--","--"
"S14","葵芳","KWAI FONG","S1401","佛教林金殿紀念小學","Buddhist Lim Kim Tian Memorial Primary School","4766","2997","301","--","--","--"
"S15","興芳","HING FONG","S1501","葵芳社區會堂","Kwai Fong Community Hall","26","2177","3101","--","--","--"
"S16","華麗","WAH LAI","S1601","華景山莊北停車場地下會議室","G/F, Conference Room, Northern Car Park, Wonderland Villas","980","1168","5","20","9","--"
"S16","華麗","WAH LAI","S1602","迦密愛禮信中學","Carmel Alison Lam Foundation Secondary School","428","641","8","16","11","--"
"S16","華麗","WAH LAI","S1603","東華三院高可寧紀念小學","TWGHs Ko Ho Ning Memorial Primary School","1590","1660","4","116","24","--"
"S17","荔華","LAI WAH","S1701","中華基督教會基真小學","CCC Kei Chun Primary School","2818","3613","--","--","--","--"
"S18","祖堯","CHO YIU","S1801","香港四邑商工總會陳南昌紀念中學","The HKSYC&IA Chan Nam Chong Memorial College","3107","3297","--","--","--","--"
"S19","荔景","LAI KING","S1901","荔景社區會堂","Lai King Community Hall","2836","2670","--","--","--","--"
"S20","葵盛西邨","KWAI SHING WEST ESTATE","S2001","葵盛社區會堂","Kwai Shing Community Hall","4365","3273","--","--","--","--"
"S21","安灝","ON HO","S2101","地利亞(閩僑)英文小學","Delia (Man Kiu) English Primary School","2240","3389","49","127","--","--"
"S21","安灝","ON HO","S2102","中華基督教會燕京書院","CCC Yenching College","1380","2253","10","24","--","--"
"S22","偉盈","WAI YING","S2201","仁濟醫院趙曾學韞小學","Yan Chai Hospital Chiu Tsang Hok Wan Primary School","3480","5194","--","--","--","--"
"S23","青衣邨","TSING YI ESTATE","S2301","荃灣商會學校","Tsuen Wan Trade Association Primary School","3194","4727","--","--","--","--"
"S24","翠怡","GREENFIELD","S2401","青衣西南體育館","Tsing Yi Southwest Sports Centre","895","537","357","--","--","--"
"S24","翠怡","GREENFIELD","S2402","保良局世德小學","PLK Castar Primary School","3379","964","2006","--","--","--"
"S25","長青","CHEUNG CHING","S2501","長青社區中心","Cheung Ching Estate Community Centre","1409","1800","--","--","--","--"
"S25","長青","CHEUNG CHING","S2502","美景花園自修室","Study Room, Mayfair Gardens","1963","2775","--","--","--","--"
"S26","長康","CHEUNG HONG","S2601","青衣商會小學","Tsing Yi Trade Association Primary School","1210","1778","--","--","--","--"
"S26","長康","CHEUNG HONG","S2602","青衣商會幼稚園","Tsing Yi Trade Association Kindergarten","1739","1649","--","--","--","--"
"S27","盛康","SHING HONG","S2701","樂善堂梁植偉紀念中學","Lok Sin Tong Leung Chik Wai Memorial School","3531","3417","--","--","--","--"
"S28","青衣南","TSING YI SOUTH","S2801","藍澄會","Rambler Crest Club House","1051","499","--","--","--","--"
"S28","青衣南","TSING YI SOUTH","S2802","聖公會青衣主恩小學","SKH Tsing Yi Chu Yan Primary School","3611","3400","--","--","--","--"
"S29","長亨","CHEUNG HANG","S2901","長亨社區會堂","Cheung Hang Community Hall","3759","3270","--","--","--","--"
"S30","青發","CHING FAT","S3001","長發社區中心","Cheung Fat Estate Community Centre","3468","29","271","5061","120","--"
"S31","長安","CHEUNG ON","S3101","中華傳道會呂明才小學","CNEC Lui Ming Choi Primary School","3711","289","2983","--","--","--"
